"PatientId","SliceNumber","ImageRelative","MaskRelative","ImageWidth","ImageHeight","ImageBpp","MaskWidth","MaskHeight","MaskBpp","ImagePixelSha256","MaskPixelSha256","ForegroundPixels","ForegroundFraction","MaskDistinctValues","MaskBinary","RedGreenEqual","RedBlueEqual","GreenBlueEqual","RedStd","GreenStd","BlueStd","ImageFileSha256","MaskFileSha256"
"TCGA_CS_4941_19960909","1","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_1.tif","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_1_mask.tif","256","256","24","256","256","8","51b17c5c0509e6fd693de6c789b287eb9eaa13bcc042c60b55ce6ec5c33c5ff0","de2f256064a0af797747c2b97505dc0b9f3df0de4f489eac731c23ae9ca9cc31","0","0","1","True","False","False","False","47.942275","35.963518","34.45241","ee33c719f5ac4503a54aba4ed6bff39adb5a608ae4e22df6b8d6e9ad0d8c3b84","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909","10","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_10.tif","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_10_mask.tif","256","256","24","256","256","8","0f35eedd97cca9618ffbe82f0b3f23c3dc6020f892f89b53834f6158c978956a","de2f256064a0af797747c2b97505dc0b9f3df0de4f489eac731c23ae9ca9cc31","0","0","1","True","False","False","False","43.313162","39.523678","33.634665","01ca42c4755ea1260560ac5d5f2c0eb77b7d505f0fffda5a306d3a8e91622afa","ab7233e2b69e64b6862e0d38232a00875aa27e8e4c6188be9f29a6a8cef6aa60"
"TCGA_CS_4941_19960909","11","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_11.tif","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_11_mask.tif","256","256","24","256","256","8","9be3682c3d6833e753ac87edb770fd6b6986ea12162ac0eac68a745ee70d73f8","0ad4fc7cb59e5542c7b46707a7c7b738a765808710f4a1234b85eb38014fdf13","1426","0.021759033203125","2","True","False","False","False","41.730565","38.789159","34.420356","24cd07fadeea7cbc3bd56d16aac13af39ff731d857e70466aacb5e8f58d54bf5","1cd643ae0abaeba53b47b3b30827a1d02041039ce0311f7344d26eb90a368da3"
"TCGA_CS_4941_19960909","12","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_12.tif","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_12_mask.tif","256","256","24","256","256","8","54b1401c914ec62007d1b3fb78692e08cf2b2e36508967dd8fa8f4d120a1c37a","9fdc3c00af1055b3e1c086aae95a00d0227df4b70bfbceb11c879825ff2e18de","2646","0.040374755859375","2","True","False","False","False","39.211227","38.462699","34.90067","1081228a8daafa745c17540f1e4b3fb7e76cc63d2f866d82f530d4c4c9f074a7","75f70064d938da8bbfc12040b54111e84eab35b5dee35b6fe82d39c26f904901"
"TCGA_CS_4941_19960909","13","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_13.tif","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_13_mask.tif","256","256","24","256","256","8","d65c68f31d5860c66dbd2b484c4fc65f21f8baca5c35800d580ccd997c8d1edb","5933153c79f0fac7348c01db82ecd493be7a28f16de1926809752e1b035ad274","2765","0.0421905517578125","2","True","False","False","False","37.880359","38.850432","34.761124","20747a33c25f13866e1c7ad513e8653a5b1fb54546ac77376d1a7c3100655158","409199c6869e6d3a9155ca263a27c19dc1444c1c75b0550f3e4c355d936bc924"
"TCGA_CS_4941_19960909","14","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_14.tif","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_14_mask.tif","256","256","24","256","256","8","b268c64a760dfc619a800697b666e432c53e5687e3a539126476336e33b89914","c1e76d2660bd22c6f597ed21dd8dda70e1c0690e45afdb6f09e617b2518a80f6","2877","0.0438995361328125","2","True","False","False","False","36.900391","37.865617","34.100036","308cfb3d6363659267e28e6ce33f667a6bd746cffe4dac0f4a4371c6a4f3e173","cfac071f28e42133407032d2dcda4e4c70888bcd3ce2371e2ac4ea204aa30d46"
"TCGA_CS_4941_19960909","15","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_15.tif","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_15_mask.tif","256","256","24","256","256","8","dd3a09210e84bbdd179a7c97b3bd2bca8fd96472546a6b0db565c514952a6905","ff2bd1e0491472079bafe3151802b87537d60e5c81cdabacec4a2326e602ea1a","1952","0.02978515625","2","True","False","False","False","37.236018","35.972968","32.981758","8c22423ad6fbbc4ff87160f6fc945bf33b2ff8d514f4a92e3b6d02cdad32bc18","cc36b053055ad29cf1bfcc201c8d283c106d287821bf35a176aecf006bd89ec8"
"TCGA_CS_4941_19960909","16","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_16.tif","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_16_mask.tif","256","256","24","256","256","8","f9265bcee07afb5848bbe530ea9c3cb158d6cf8d3a72ce9dffcab5b8d5852c5c","9923680439840fd8db03ab0742405e7b6b3fdc942ee7018e2a7dd9d7c81881ff","1828","0.02789306640625","2","True","False","False","False","36.52487","34.815328","32.5165","a5c3fe950e312655204cfda371371e9d30e934dbd96713e777d2fa122ce4e90a","478a2f079751a33701c7a1722656376b738663c7de2ae0b8b5f7e40393ae3197"
"TCGA_CS_4941_19960909","17","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_17.tif","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_17_mask.tif","256","256","24","256","256","8","3934b906d2be6407252bb0ec5e772cab6a6382d5ad9d73a1cbee435ddff7de42","bce50ec65072644be922bbd24147fb6110db709d76d41f3304a82d3d6a62125b","811","0.0123748779296875","2","True","False","False","False","37.262149","32.949678","32.233776","feb0e9b506e6430e7f415f42b6274b498fe3b98d0d87ec3f79a734e2e25027ef","83f9ee103e619757d461553326fdc2ecca310c9c845d3d781852c4429406a07d"
"TCGA_CS_4941_19960909","18","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_18.tif","DATASET/kaggle_3m/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_18_mask.tif","256","256","24","256","256","8","4e9b8a33eff5cc6642ec7f16a9cdb1909fd3691334ba90c98bd2103af2581ce6","ee7b5dac3b8e4e1495ad892930fb4b423acb9f78c4b66fd925b11ac57cc9123a","74","0.001129150390625","2","True","False","False","False","36.756069","32.190269","30.169706","95ec24acdd7c22c38462e757e2fa7bc04182ed03f55012c5d083c2d0bc0f838d","aa01b4963c39fa708d0ee3525916b4747d510fdb447c8af5567de88c5ff9ec79"
